pattern,label,e_f,e_p,n_f,n_p,ochiai,tarantula,dstar,jaccard,op2,rrf_score,rank_rrf,rank,higher_in_positives,fail_pass_rate_delta,fisher_tested,p_value,q_value,reject_bh,reject_bh_exploratory,evidence_level
ACT :: INFORM :: VERIFY_FAIL :: TERMINATE,global,7.0,0.0,490.0,100.0,0.11867816581938534,1.0,0.1,0.014084507042253521,7.0,0.05044835697525707,47,51,True,0.014084507042253521,False,,,False,False,untested
TERMINATE :: ACT :: VERIFY_PASS :: PLAN,global,7.0,0.0,490.0,100.0,0.11867816581938534,1.0,0.1,0.014084507042253521,7.0,0.05044835697525707,47,52,True,0.014084507042253521,False,,,False,False,untested
REQUEST :: PLAN :: VERIFY_PASS :: TERMINATE,global,7.0,1.0,490.0,99.0,0.11101325894672145,0.5847953216374269,0.09979633401221996,0.014056224899598393,6.99009900990099,0.04665959986937132,53,53,True,0.004084507042253521,False,,,False,False,untested
INFORM :: VERIFY_FAIL :: TERMINATE :: INFORM,global,6.0,0.0,491.0,100.0,0.10987463131972675,1.0,0.07331975560081466,0.012072434607645875,6.0,0.048758292970953895,50,54,True,0.012072434607645875,False,,,False,False,untested
ACT :: VERIFY_PASS :: PLAN :: VERIFY_FAIL,global,6.0,0.0,491.0,100.0,0.10987463131972675,1.0,0.07331975560081466,0.012072434607645875,6.0,0.048758292970953895,50,55,True,0.012072434607645875,False,,,False,False,untested
PLAN :: TERMINATE :: ACT :: VERIFY_PASS,global,7.0,2.0,490.0,98.0,0.10466430427045988,0.4132231404958678,0.09959349593495935,0.014028056112224449,6.98019801980198,0.04325465472392009,58,56,False,-0.005915492957746479,False,,,False,False,untested
REQUEST :: PLAN :: TERMINATE :: PLAN,global,8.0,4.0,489.0,96.0,0.10359079584873414,0.2869440459110474,0.12981744421906694,0.015968063872255488,7.96039603960396,0.04420002562763807,57,57,False,-0.023903420523138832,False,,,False,False,untested
VERIFY_FAIL :: PLAN :: ACT :: VERIFY_PASS,global,5.0,0.0,492.0,100.0,0.10030135678562993,1.0,0.0508130081300813,0.01006036217303823,5.0,0.04796732989437484,52,58,True,0.01006036217303823,False,,,False,False,untested
PLAN :: TERMINATE :: PLAN :: ACT,global,6.0,2.0,491.0,98.0,0.09515422195433268,0.37641154328732745,0.07302231237322515,0.012024048096192385,5.98019801980198,0.04194677871148459,62,59,False,-0.007927565392354126,False,,,False,False,untested
REQUEST :: PLAN :: ACT :: VERIFY_PASS,global,7.0,4.0,490.0,96.0,0.09467242532964756,0.2604166666666667,0.09919028340080972,0.013972055888223553,6.96039603960396,0.042195402298850576,61,60,False,-0.025915492957746478,False,,,False,False,untested
INFORM :: PLAN :: TERMINATE :: ACT,global,5.0,1.0,492.0,99.0,0.09156219276643895,0.5015045135406219,0.05070993914807302,0.010040160642570281,4.99009900990099,0.04258364644838075,59,61,True,6.036217303822915e-05,False,,,False,False,untested
TERMINATE :: PLAN :: ACT :: INFORM,global,5.0,1.0,492.0,99.0,0.09156219276643895,0.5015045135406219,0.05070993914807302,0.010040160642570281,4.99009900990099,0.04258364644838075,59,62,True,6.036217303822915e-05,False,,,False,False,untested
REQUEST :: PLAN :: ACT :: ERROR,global,5.0,2.0,492.0,98.0,0.0847701184424181,0.33467202141900937,0.05060728744939271,0.01002004008016032,4.98019801980198,0.0407847880131694,63,63,False,-0.009939637826961771,False,,,False,False,untested
ACT :: VERIFY_PASS :: PLAN :: TERMINATE,global,5.0,3.0,492.0,97.0,0.0792951849619439,0.25113008538422904,0.050505050505050504,0.01,4.97029702970297,0.04019457245263697,64,64,False,-0.01993963782696177,False,,,False,False,untested
INFORM :: PLAN :: INFORM :: TERMINATE,global,4.0,2.0,493.0,98.0,0.07324975421315116,0.2869440459110474,0.03232323232323232,0.008016032064128256,3.98019801980198,0.04000259126097237,65,65,False,-0.011951710261569416,False,,,False,False,untested
INFORM :: PLAN :: TERMINATE :: PLAN,global,4.0,2.0,493.0,98.0,0.07324975421315116,0.2869440459110474,0.03232323232323232,0.008016032064128256,3.98019801980198,0.04000259126097237,65,66,False,-0.011951710261569416,False,,,False,False,untested
TERMINATE :: ACT :: INFORM :: TERMINATE,global,3.0,2.0,494.0,98.0,0.06018081407137796,0.231839258114374,0.018145161290322582,0.006012024048096192,2.98019801980198,0.03937007874015748,67,67,False,-0.013963782696177063,False,,,False,False,untested
PLAN :: TERMINATE :: PLAN :: TERMINATE,global,3.0,5.0,494.0,95.0,0.04757711097716634,0.10771992818671454,0.018036072144288578,0.00597609561752988,2.9504950495049505,0.0390625,68,68,False,-0.04396378269617707,False,,,False,False,untested
