batch,framework,n,lens,rank,pattern,score,score_name,p_value,fisher_tested,higher_in_positives
2026-05-27T090031,Magentic,4,SBFL,5,ACT :: PLAN :: ERROR :: PLAN,0.4250165852579883,ochiai,0.0684073949239378,True,True
2026-05-27T090031,Magentic,4,Markov,1,REQUEST :: PLAN :: ACT :: PLAN,0.0968459971308394,surprise_delta,,False,
2026-05-27T090031,Magentic,4,Markov,2,PLAN :: ACT :: PLAN :: ERROR,-0.0213536535773597,surprise_delta,,False,
2026-05-27T090031,Magentic,4,Markov,3,PLAN :: ERROR :: PLAN :: ACT,-0.1113492079423484,surprise_delta,,False,
2026-05-27T090031,Magentic,4,Markov,4,ERROR :: PLAN :: ACT :: PLAN,-0.1221710178720824,surprise_delta,,False,
2026-05-27T090031,Magentic,4,Markov,5,ACT :: PLAN :: ERROR :: PLAN,-0.1143702298686196,surprise_delta,,False,
2026-05-27T090031,HyperAgent,4,SBFL,1,PLAN :: ACT :: TERMINATE :: ACT,0.6210590034081188,ochiai,0.1361517383722999,True,True
2026-05-27T090031,HyperAgent,4,SBFL,2,TERMINATE :: PLAN :: ACT :: PLAN,0.5832118435198043,ochiai,,False,True
2026-05-27T090031,HyperAgent,4,SBFL,3,ACT :: PLAN :: ACT :: PLAN,0.5378528742004771,ochiai,,False,False
2026-05-27T090031,HyperAgent,4,SBFL,4,ACT :: TERMINATE :: ACT :: PLAN,0.5188745216627708,ochiai,0.3744987155545035,True,True
2026-05-27T090031,HyperAgent,4,SBFL,5,ERROR :: PLAN :: ACT :: VERIFY_FAIL,0.4780914437337574,ochiai,0.1264367816091953,True,True
2026-05-27T090031,HyperAgent,4,Markov,1,TERMINATE :: PLAN :: ACT :: PLAN,0.1651913869183999,surprise_delta,,False,
2026-05-27T090031,HyperAgent,4,Markov,2,ACT :: PLAN :: ACT :: PLAN,0.1360924311233486,surprise_delta,,False,
2026-05-27T090031,HyperAgent,4,Markov,3,PLAN :: ACT :: TERMINATE :: ACT,0.0496623029821481,surprise_delta,,False,
2026-05-27T090031,HyperAgent,4,Markov,4,ACT :: TERMINATE :: ACT :: PLAN,0.0380332767138591,surprise_delta,,False,
2026-05-27T090031,HyperAgent,4,Markov,5,TERMINATE :: ACT :: PLAN :: ACT,0.0400870428370401,surprise_delta,,False,
